router_file,method,path,screen_id
abuseipdb_router.py,POST,/api/v1/abuseipdb/import,S17
abuseipdb_router.py,GET,/api/v1/abuseipdb/ips,S17
abuseipdb_router.py,GET,/api/v1/abuseipdb/check/{ip},S17
abuseipdb_router.py,GET,/api/v1/abuseipdb/stats,S17
access_anomaly_router.py,GET,/api/v1/access-anomaly/,S13
access_anomaly_router.py,POST,/api/v1/access-anomaly/events,S13
access_anomaly_router.py,POST,/api/v1/access-anomaly/events/{event_id}/detect-anomalies,S13
access_anomaly_router.py,POST,/api/v1/access-anomaly/baseline,S13
access_anomaly_router.py,POST,/api/v1/access-anomaly/impossible-travel/{username},S13
access_anomaly_router.py,POST,/api/v1/access-anomaly/anomalies/{anomaly_id}/resolve,S13
access_anomaly_router.py,GET,/api/v1/access-anomaly/anomalies,S13
access_anomaly_router.py,GET,/api/v1/access-anomaly/users/{username}/profile,S13
access_anomaly_router.py,GET,/api/v1/access-anomaly/high-risk-users,S13
access_anomaly_router.py,GET,/api/v1/access-anomaly/summary,S13
access_control_router.py,POST,/api/v1/access-control/policies,S13
access_control_router.py,GET,/api/v1/access-control/policies,S13
access_control_router.py,GET,/api/v1/access-control/policies/{policy_id},S13
access_control_router.py,POST,/api/v1/access-control/grants,S13
access_control_router.py,GET,/api/v1/access-control/grants,S13
access_control_router.py,PUT,/api/v1/access-control/grants/{grant_id}/revoke,S13
access_control_router.py,GET,/api/v1/access-control/check,S13
access_control_router.py,GET,/api/v1/access-control/stats,S13
access_governance_router.py,GET,/api/v1/access-governance/,S13
access_governance_router.py,POST,/api/v1/access-governance/entitlements,S13
access_governance_router.py,POST,/api/v1/access-governance/entitlements/{entitlement_id}/revoke,S13
access_governance_router.py,POST,/api/v1/access-governance/sod/detect,S13
access_governance_router.py,POST,/api/v1/access-governance/violations/{violation_id}/acknowledge,S13
access_governance_router.py,POST,/api/v1/access-governance/roles,S13
access_governance_router.py,POST,/api/v1/access-governance/roles/{role_id}/assign,S13
access_governance_router.py,GET,/api/v1/access-governance/users/{user_id}/entitlements,S13
access_governance_router.py,GET,/api/v1/access-governance/expiring,S13
access_governance_router.py,GET,/api/v1/access-governance/summary,S13
access_matrix_router.py,POST,/api/v1/access-matrix/rules,S13
access_matrix_router.py,DELETE,/api/v1/access-matrix/rules/{rule_id},S13
access_matrix_router.py,GET,/api/v1/access-matrix/rules,S13
access_matrix_router.py,POST,/api/v1/access-matrix/check,S13
access_matrix_router.py,GET,/api/v1/access-matrix/permissions/{role},S13
access_matrix_router.py,GET,/api/v1/access-matrix/acl/{resource_type},S13
access_matrix_router.py,GET,/api/v1/access-matrix/stats,S13
access_matrix_router.py,GET,/api/v1/access-matrix/matrix,S13
access_request_management_router.py,POST,/api/v1/access-requests/requests,S13
access_request_management_router.py,GET,/api/v1/access-requests/requests,S13
access_request_management_router.py,GET,/api/v1/access-requests/requests/{request_id},S13
access_request_management_router.py,POST,/api/v1/access-requests/requests/{request_id}/approve,S13
access_request_management_router.py,POST,/api/v1/access-requests/requests/{request_id}/reject,S13
access_request_management_router.py,POST,/api/v1/access-requests/requests/{request_id}/revoke,S13
access_request_management_router.py,GET,/api/v1/access-requests/stats,S13
adaptive_shield_live_connector_router.py,GET,/api/v1/connectors/adaptive-shield-live/health,S29
adaptive_shield_live_connector_router.py,GET,/api/v1/connectors/adaptive-shield-live/status,S29
adaptive_shield_live_connector_router.py,POST,/api/v1/connectors/adaptive-shield-live/sync,S29
admin_router.py,GET,/api/v1/admin/users,S13
admin_router.py,POST,/api/v1/admin/users,S13
admin_router.py,GET,/api/v1/admin/users/{user_id},S13
admin_router.py,PUT,/api/v1/admin/users/{user_id},S13
admin_router.py,DELETE,/api/v1/admin/users/{user_id},S13
admin_router.py,GET,/api/v1/admin/teams,S31
admin_router.py,POST,/api/v1/admin/teams,S31
admin_router.py,GET,/api/v1/admin/teams/{team_id},S31
admin_router.py,PUT,/api/v1/admin/teams/{team_id},S31
admin_router.py,DELETE,/api/v1/admin/teams/{team_id},S31
admin_wizard_router.py,GET,/api/v1/admin/wizard-state,S31
admin_wizard_router.py,POST,/api/v1/admin/wizard-state,S31
admin_wizard_router.py,POST,/api/v1/admin/wizard-state/reset,S31
agentless_snapshot_router.py,POST,/api/v1/agentless-snapshot/enqueue,S17
agentless_snapshot_router.py,POST,/api/v1/agentless-snapshot/{snapshot_db_id}/scan,S07
agentless_snapshot_router.py,GET,/api/v1/agentless-snapshot/snapshots,S17
agentless_snapshot_router.py,GET,/api/v1/agentless-snapshot/findings,S17
agentless_snapshot_router.py,GET,/api/v1/agentless-snapshot/stats,S17
agents_router.py,POST,/api/v1/copilot/agents/analyst/analyze,S17
agents_router.py,POST,/api/v1/copilot/agents/analyst/threat-intel,S19
agents_router.py,POST,/api/v1/copilot/agents/analyst/prioritize,S17
agents_router.py,POST,/api/v1/copilot/agents/analyst/attack-path,S17
agents_router.py,GET,/api/v1/copilot/agents/analyst/trending,S17
agents_router.py,GET,/api/v1/copilot/agents/analyst/risk-score/{asset_id},S17
agents_router.py,GET,/api/v1/copilot/agents/analyst/cve/{cve_id},S17
agents_router.py,POST,/api/v1/copilot/agents/pentest/validate,S17
agents_router.py,POST,/api/v1/copilot/agents/pentest/generate-poc,S17
agents_router.py,POST,/api/v1/copilot/agents/pentest/reachability,S17
agents_router.py,POST,/api/v1/copilot/agents/pentest/simulate,S17
agents_router.py,GET,/api/v1/copilot/agents/pentest/results/{task_id},S17
agents_router.py,GET,/api/v1/copilot/agents/pentest/evidence/{evidence_id},S25
agents_router.py,POST,/api/v1/copilot/agents/pentest/schedule,S17
agents_router.py,POST,/api/v1/copilot/agents/compliance/map-findings,S25
agents_router.py,POST,/api/v1/copilot/agents/compliance/gap-analysis,S25
agents_router.py,POST,/api/v1/copilot/agents/compliance/audit-evidence,S25
agents_router.py,POST,/api/v1/copilot/agents/compliance/regulatory-alerts,S25
agents_router.py,GET,/api/v1/copilot/agents/compliance/controls/{framework},S25
agents_router.py,GET,/api/v1/copilot/agents/compliance/dashboard,S25
agents_router.py,POST,/api/v1/copilot/agents/compliance/generate-report,S25
agents_router.py,POST,/api/v1/copilot/agents/remediation/generate-fix,S17
agents_router.py,POST,/api/v1/copilot/agents/remediation/create-pr,S17
agents_router.py,POST,/api/v1/copilot/agents/remediation/update-dependencies,S17
agents_router.py,POST,/api/v1/copilot/agents/remediation/playbook,S17
agents_router.py,GET,/api/v1/copilot/agents/remediation/recommendations/{finding_id},S17
agents_router.py,POST,/api/v1/copilot/agents/remediation/verify,S17
agents_router.py,GET,/api/v1/copilot/agents/remediation/queue,S17
agents_router.py,POST,/api/v1/copilot/agents/orchestrate,S17
agents_router.py,GET,/api/v1/copilot/agents/status,S17
agents_router.py,GET,/api/v1/copilot/agents/tasks/{task_id},S17
agents_router.py,GET,/api/v1/copilot/agents/health,S17
ai_code_scanner_router.py,POST,/api/v1/ai-scan/snippet,S28
ai_code_scanner_router.py,POST,/api/v1/ai-scan/analyze,S28
ai_code_scanner_router.py,GET,/api/v1/ai-scan/history,S28
ai_code_scanner_router.py,GET,/api/v1/ai-scan/stats,S28
ai_governance_router.py,POST,/api/v1/ai-governance/models,S28
ai_governance_router.py,GET,/api/v1/ai-governance/models,S28
ai_governance_router.py,GET,/api/v1/ai-governance/models/{model_id},S28
ai_governance_router.py,PUT,/api/v1/ai-governance/models/{model_id}/status,S28
ai_governance_router.py,POST,/api/v1/ai-governance/assessments,S28
ai_governance_router.py,GET,/api/v1/ai-governance/assessments,S28
ai_governance_router.py,POST,/api/v1/ai-governance/incidents,S21
ai_governance_router.py,PUT,/api/v1/ai-governance/incidents/{incident_id}/resolve,S21
ai_governance_router.py,GET,/api/v1/ai-governance/incidents,S21
ai_governance_router.py,GET,/api/v1/ai-governance/stats,S28
ai_orchestrator_router.py,POST,/api/v1/ai-orchestrator/tasks,S28
ai_orchestrator_router.py,POST,/api/v1/ai-orchestrator/tasks/{task_id}/execute,S03
ai_orchestrator_router.py,GET,/api/v1/ai-orchestrator/tasks/{task_id},S28
ai_orchestrator_router.py,GET,/api/v1/ai-orchestrator/tasks,S28
ai_orchestrator_router.py,POST,/api/v1/ai-orchestrator/consensus,S28
ai_orchestrator_router.py,POST,/api/v1/ai-orchestrator/pipeline/chain,S28
ai_orchestrator_router.py,POST,/api/v1/ai-orchestrator/pipeline/parallel,S28
ai_orchestrator_router.py,GET,/api/v1/ai-orchestrator/stats,S28
ai_orchestrator_router.py,POST,/api/v1/ai-orchestrator/context-requirement,S28
ai_orchestrator_router.py,GET,/api/v1/ai-orchestrator/context-requirements,S28
ai_orchestrator_router.py,POST,/api/v1/ai-orchestrator/preflight-estimate,S28
ai_powered_soc_router.py,POST,/api/v1/ai-soc/detections,S20
ai_powered_soc_router.py,GET,/api/v1/ai-soc/detections,S20
ai_powered_soc_router.py,PUT,/api/v1/ai-soc/detections/{detection_id}/triage,S20
ai_powered_soc_router.py,POST,/api/v1/ai-soc/models,S28
ai_powered_soc_router.py,GET,/api/v1/ai-soc/models,S28
ai_powered_soc_router.py,PUT,/api/v1/ai-soc/models/{model_id}/status,S28
ai_powered_soc_router.py,POST,/api/v1/ai-soc/automation,S28
ai_powered_soc_router.py,GET,/api/v1/ai-soc/automation,S28
ai_powered_soc_router.py,PUT,/api/v1/ai-soc/automation/{rule_id}/execute,S03
ai_powered_soc_router.py,GET,/api/v1/ai-soc/stats,S28
ai_security_advisor_router.py,POST,/api/v1/ai-advisor/posture-review,S09
ai_security_advisor_router.py,POST,/api/v1/ai-advisor/analyze-incident,S28
ai_security_advisor_router.py,POST,/api/v1/ai-advisor/remediation-plan,S28
ai_security_advisor_router.py,POST,/api/v1/ai-advisor/threat-briefing,S28
ai_security_advisor_router.py,POST,/api/v1/ai-advisor/ask,S28
ai_security_advisor_router.py,GET,/api/v1/ai-advisor/sessions,S28
ai_security_advisor_router.py,GET,/api/v1/ai-advisor/sessions/{session_id},S28
ai_security_advisor_router.py,GET,/api/v1/ai-advisor/recommendations,S28
ai_security_advisor_router.py,PATCH,/api/v1/ai-advisor/recommendations/{rec_id}/status,S28
ai_security_advisor_router.py,GET,/api/v1/ai-advisor/stats,S28
air_gap_bundle_router.py,POST,/api/v1/air-gap/bundle/export,S28
air_gap_bundle_router.py,POST,/api/v1/air-gap/bundle/verify/{bundle_id},S28
air_gap_bundle_router.py,POST,/api/v1/air-gap/bundle/apply/{bundle_id},S28
air_gap_bundle_router.py,POST,/api/v1/air-gap/bundle/transfer,S28
air_gap_bundle_router.py,GET,/api/v1/air-gap/bundle/list,S28
air_gap_bundle_router.py,GET,/api/v1/air-gap/bundle/stats,S28
air_gap_bundle_router.py,GET,/api/v1/air-gap/bundle/{bundle_id},S28
airgap_router.py,GET,/api/v1/airgap/status,S28
airgap_router.py,POST,/api/v1/airgap/configure,S31
airgap_router.py,GET,/api/v1/airgap/health,S28
airgap_router.py,POST,/api/v1/airgap/import/vuln-db,S17
airgap_router.py,POST,/api/v1/airgap/export/vuln-db,S17
airgap_router.py,POST,/api/v1/airgap/import/threat-intel,S19
airgap_router.py,POST,/api/v1/airgap/export/threat-intel,S19
airgap_router.py,GET,/api/v1/airgap/classification,S28
airgap_router.py,POST,/api/v1/airgap/classification,S28
airgap_router.py,GET,/api/v1/airgap/fips/status,S28
airgap_router.py,POST,/api/v1/airgap/updates/package,S28
airgap_router.py,POST,/api/v1/airgap/updates/apply,S28
airgap_router.py,GET,/api/v1/airgap/dependencies,S28
airgap_router.py,POST,/api/v1/airgap/detect-isolation,S28
airgap_router.py,POST,/api/v1/airgap/llm/probe,S28
airgap_router.py,GET,/api/v1/airgap/vuln-db/lookup/{cve_id},S17
airgap_router.py,GET,/api/v1/airgap/vuln-db/info,S17
airgap_router.py,GET,/api/v1/airgap/threat-intel/info,S19
airgap_router.py,GET,/api/v1/airgap/updates/history,S28
airgap_router.py,GET,/api/v1/airgap/fips/algorithms,S28
airgap_router.py,POST,/api/v1/airgap/enable,S28
airgap_router.py,POST,/api/v1/airgap/disable,S28
airgap_router.py,GET,/api/v1/airgap/cve/search,S28
airgap_router.py,POST,/api/v1/airgap/update/export,S28
airgap_router.py,POST,/api/v1/airgap/update/import,S28
airgap_router.py,GET,/api/v1/airgap/network-check,S12
airgap_router.py,GET,/api/v1/airgap/validate,S28
alert_enrichment_router.py,GET,/api/v1/alert-enrichment/,S17
alert_enrichment_router.py,POST,/api/v1/alert-enrichment/alerts,S17
